window_start,window_end,datetime,elapsed_seconds,request_count,success_count,failure_count,throughput_rps,success_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
1766871091.4661674,1766871092.4661674,2025-12-27T23:31:31.466167,83,29,29,0,29.0,1.0,1.3399946278539197,1.3899803161621094,1.7390251159667969,3.007650375366211
1766871092.4661674,1766871093.4661674,2025-12-27T23:31:32.466167,84,29,29,0,29.0,1.0,1.4333971615495353,1.5146732330322266,2.019643783569336,2.3386478424072266
1766871093.4661674,1766871094.4661674,2025-12-27T23:31:33.466167,85,30,30,0,30.0,1.0,1.4767646789550781,1.5153884887695312,2.0117759704589844,2.1767616271972656
1766871094.4661674,1766871095.4661674,2025-12-27T23:31:34.466167,86,29,29,0,29.0,1.0,1.2818698225350216,1.0790824890136719,1.9695758819580078,2.009153366088867
1766871095.4661674,1766871096.4661674,2025-12-27T23:31:35.466167,87,29,29,0,29.0,1.0,1.3659082610031654,1.4486312866210938,2.010822296142578,2.012014389038086
1766871096.4661674,1766871097.4661674,2025-12-27T23:31:36.466167,88,30,30,0,30.0,1.0,1.4789342880249023,1.5139579772949219,2.063274383544922,3.008127212524414
1766871097.4661674,1766871098.4661674,2025-12-27T23:31:37.466167,89,29,29,0,29.0,1.0,1.406061238255994,1.512765884399414,2.009868621826172,2.0132064819335938
1766871098.4661674,1766871099.4661674,2025-12-27T23:31:38.466167,90,29,29,0,29.0,1.0,1.4001501017603382,1.512765884399414,1.7478466033935547,1.9567012786865234
1766871099.4661674,1766871100.4661674,2025-12-27T23:31:39.466167,91,30,30,0,30.0,1.0,1.4534552892049153,1.5141963958740234,2.0074844360351562,2.3360252380371094
1766871100.4661674,1766871101.4661674,2025-12-27T23:31:40.466167,92,29,29,0,29.0,1.0,1.4049349160029971,1.5110969543457031,2.008676528930664,2.0089149475097656
1766871101.4661674,1766871102.4661674,2025-12-27T23:31:41.466167,93,29,29,0,29.0,1.0,1.3760780466013942,1.5118122100830078,1.7218589782714844,2.0084381103515625
1766871102.4661674,1766871103.4661674,2025-12-27T23:31:42.466167,94,30,30,0,30.0,1.0,1.325503985087077,1.4259815216064453,1.7282962799072266,1.9741058349609375
1766871103.4661674,1766871104.4661674,2025-12-27T23:31:43.466167,95,29,29,0,29.0,1.0,1.3757820787100956,1.5120506286621094,2.0084381103515625,2.017974853515625
1766871104.4661674,1766871105.4661674,2025-12-27T23:31:44.466167,96,29,29,0,29.0,1.0,1.2840402537378772,1.2574195861816406,2.007722854614258,2.0134449005126953
1766871105.4661674,1766871106.4661674,2025-12-27T23:31:45.466167,97,30,30,0,30.0,1.0,1.4528354008992512,1.5120506286621094,2.0160675048828125,3.013134002685547
1766871106.4661674,1766871107.4661674,2025-12-27T23:31:46.466167,98,29,29,0,29.0,1.0,1.3924384939259495,1.5118122100830078,2.0089149475097656,2.048492431640625
1766871107.4661674,1766871108.4661674,2025-12-27T23:31:47.466167,99,29,29,0,29.0,1.0,1.409505975657496,1.5125274658203125,2.0096302032470703,2.0215511322021484
1766871108.4661674,1766871109.4661674,2025-12-27T23:31:48.466167,100,30,30,0,30.0,1.0,1.3646046320597331,1.5108585357666016,2.0110607147216797,2.0542144775390625
1766871109.4661674,1766871110.4661674,2025-12-27T23:31:49.466167,101,29,29,0,29.0,1.0,1.249338018483129,1.3947486877441406,1.7020702362060547,1.8796920776367188
1766871110.4661674,1766871111.4661674,2025-12-27T23:31:50.466167,102,29,29,0,29.0,1.0,1.3553027448983028,1.5153884887695312,2.007722854614258,2.0079612731933594
1766871111.4661674,1766871112.4661674,2025-12-27T23:31:51.466167,103,30,30,0,30.0,1.0,1.2613773345947266,1.4660358428955078,2.0093917846679688,2.0215511322021484
1766871112.4661674,1766871113.4661674,2025-12-27T23:31:52.466167,104,29,29,0,29.0,1.0,1.4172751328040814,1.5120506286621094,2.0072460174560547,2.0117759704589844
1766871113.4661674,1766871114.4661674,2025-12-27T23:31:53.466167,105,29,29,0,29.0,1.0,1.3961627565581223,1.512289047241211,2.0105838775634766,3.5212039947509766
1766871114.4661674,1766871115.4661674,2025-12-27T23:31:54.466167,106,30,30,0,30.0,1.0,1.6602754592895508,1.3446807861328125,2.151966094970703,11.518716812133789
1766871115.4661674,1766871116.4661674,2025-12-27T23:31:55.466167,107,29,29,0,29.0,1.0,1.329126029179014,1.5118122100830078,2.0067691802978516,2.008199691772461
1766871116.4661674,1766871117.4661674,2025-12-27T23:31:56.466167,108,29,29,0,29.0,1.0,1.3198441472546807,1.374959945678711,2.0084381103515625,2.0089149475097656
1766871117.4661674,1766871118.4661674,2025-12-27T23:31:57.466167,109,30,30,0,30.0,1.0,1.3557672500610352,1.512765884399414,2.007007598876953,2.0093917846679688
1766871118.4661674,1766871119.4661674,2025-12-27T23:31:58.466167,110,29,29,0,29.0,1.0,1.348569475371262,1.512289047241211,1.9831657409667969,2.190828323364258
1766871119.4661674,1766871120.4661674,2025-12-27T23:31:59.466167,111,29,29,0,29.0,1.0,1.2563425919105267,1.407623291015625,1.6145706176757812,1.6589164733886719
1766871120.4661674,1766871121.4661674,2025-12-27T23:32:00.466167,112,29,29,0,29.0,1.0,1.3755847667825634,1.5130043029785156,2.008199691772461,2.008199691772461
1766871121.4661674,1766871122.4661674,2025-12-27T23:32:01.466167,113,30,30,0,30.0,1.0,1.3380686442057292,1.3799667358398438,2.260446548461914,2.2623538970947266
1766871122.4661674,1766871123.4661674,2025-12-27T23:32:02.466167,114,29,29,0,29.0,1.0,1.2609547582165948,1.0194778442382812,1.8208026885986328,2.0189285278320312
1766871123.4661674,1766871124.4661674,2025-12-27T23:32:03.466167,115,29,29,0,29.0,1.0,1.2955336735166352,1.0325908660888672,2.0096302032470703,2.0117759704589844
1766871124.4661674,1766871125.4661674,2025-12-27T23:32:04.466167,116,29,29,0,29.0,1.0,1.3642886589313377,1.5120506286621094,2.0112991333007812,2.146482467651367
1766871125.4661674,1766871126.4661674,2025-12-27T23:32:05.466167,117,30,30,0,30.0,1.0,1.369158426920573,1.512289047241211,2.0186901092529297,2.197265625
1766871126.4661674,1766871127.4661674,2025-12-27T23:32:06.466167,118,29,29,0,29.0,1.0,1.3911970730485588,1.5115737915039062,2.0096302032470703,2.4178028106689453
1766871127.4661674,1766871128.4661674,2025-12-27T23:32:07.466167,119,29,29,0,29.0,1.0,1.3809532954775054,1.5120506286621094,2.0079612731933594,2.008199691772461
